Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
0;0,01669413;0,2088039;0,1044019;0,1044019;0;0,022;0;0;0;0;0;75;False
0,508781;17,88636;100;61,16036;30,25905;30,81763;0,022;1681,435;46,13839;216;219,063;102,8371;720;False
1,515068;18,98755;100;83,23375;23,38179;59,68765;0,022;1628,859;44,69571;216;216,3068;135,576;720;False
2,509492;20,02204;100;105,0469;21,45425;83,52285;0,022;1563,969;42,91514;216;213,5736;164,2901;720;False
3,513666;21,03989;100;127,074;20,90328;106,2777;0,022;1499,723;41,15225;216;210,8087;190,5758;720;False
4,509799;22,0242;100;148,9246;20,93306;127,8183;0,022;1440,312;39,522;216;209,9315;214,4979;720;False
5,51585;22,99196;100;170,9928;22,15706;148,8981;0,022;1394,858;38,27476;216;209,2614;238,5107;720;False
6,513733;23,92625;100;192,8819;24,50105;168,5386;0,022;1363,862;37,42424;216;208,5958;263,0644;720;False
7,517233;24,84395;100;214,8941;24,99013;189,6878;0,022;1341,861;36,82053;216;207,928;288,3581;720;False
8,506037;25,72826;100;236,584;26,13861;210,5169;0,022;1326,999;36,41272;216;207,2637;313,9468;720;False
9,515146;26,62922;100;258,7193;27,02084;231,7135;0,022;1314,878;36,08013;216;206,5908;340,1844;720;False
10,50547;27,51355;100;280,4425;27,33981;253,1852;0,022;1308,209;35,89713;216;205,9247;366,8775;720;False
11,50926;28,41452;100;302,4612;26,83243;275,6047;0,022;1301,863;35,72299;213,9296;205,2519;393,7631;720;False
12,50579;29,31554;100;324,3206;28,11032;296,2313;0,022;1298,312;35,62553;212,764;204,5841;421,0691;720;False
13,51562;30,23327;100;346,4716;27,69513;318,7192;0,022;1296,359;35,57195;212,1244;203,9099;449,1516;720;False
14,50011;31,13425;100;368,067;28,03201;339,9632;0,022;1292,202;35,45789;210,7663;203,2499;475,6169;720;False
15,51662;32,06859;100;390,3646;28,03082;362,3309;0,022;1290,504;35,41129;210,2126;202,5682;503,767;720;False
16,5106;32,98629;100;412,1679;27,4111;384,6909;0,022;1288,691;35,36155;209,6225;201,8988;531,1571;720;False
17,50247;33,90394;100;433,9251;26,80402;407,3214;0,022;1287,675;35,33368;209,2922;201,2358;558,7547;720;False
18,50649;34,83823;100;455,9489;28,33792;427,906;0,022;1283,906;35,23025;208,0687;199,3125;585,3955;720;False
19,50589;35,77264;100;477,8712;28,47299;449,3905;0,022;1282,906;35,20282;207,7449;196,0844;613,064;720;False
20,50262;36,70703;100;499,7348;27,31924;472,4732;0,022;1282,01;35,17823;207,4547;192,8633;640,6652;720;False
21,51534;37,6581;100;521,9493;27,42313;494,4677;0,022;1280,475;35,13609;206,958;189,5875;668,3428;720;False
22,51098;38,59249;100;543,7892;28,64966;515,2478;0,022;1280,93;35,14858;207,1052;186,3684;696,5558;720;False
23,51716;39,54354;100;563,2446;25,14063;538,34;0,022;1278,076;35,07027;206,1834;183,1155;719,8694;720;False
24,51066;40,49462;100;572,6838;22,65234;549,9065;0,022;1256,813;34,48682;199,3801;179,8969;719,7565;720;False
25,51719;41,49572;100;583,1144;22,16547;560,8728;0,022;1234,341;33,87019;192,3138;176,6452;719,762;720;False
26,51281;42,53021;100;593,6885;23,21387;570,5699;0,022;1212,465;33,26992;185,5577;173,4165;719,8268;720;False
27,50176;43,59794;100;604,0711;22,56281;581,4086;0,022;1191,6;32,69737;179,226;170,2133;719,8109;720;False
28,5146;44,73252;100;614,3228;22,55743;591,7642;0,022;1171,753;32,15279;173,3056;166,9329;719,8347;720;False
29,50435;45,88388;100;624,2536;22,19891;602,0491;0,022;1153,113;31,64129;167,8354;163,7244;719,8347;720;False
30,50167;47,08533;100;633,941;22,27411;611,7106;0,022;1135,528;31,15877;162,7556;160,4959;719,8578;720;False
31,50303;48,33652;100;643,7015;22,29913;621,5452;0,022;1118,351;30,68742;157,8688;157,2494;719,884;720;False
32,50922;49,63792;100;653,4363;21,98981;631,2514;0,022;1101,667;30,22962;153,1936;153,9882;719,869;720;False
33,50934;50,97272;100;662,4973;21,90881;640,5588;0,022;1086,623;29,81682;149,0383;150,7465;719,8848;720;False
34,51072;52,3577;100;672,1442;21,34784;650,7557;0,022;1071,01;29,38841;144,7863;147,5019;719,8733;720;False
35,50649;53,77583;100;680,974;21,34039;659,7456;0,022;1057,158;29,00831;141,0653;144,2711;719,8973;720;False
