Speed(mph);Time;Throttle;Voltage;U Inductor;BackEMF;TotalR;Amperage;Flow;New Force(lbf);Legacy Force(lbf);Power/Motor;AvailPower/Motor;OverLoad
0,343066898;0,5004417;37,5;20,01766;19,01185;0,3772745;0,807;10,49727;12,59672;0,07147633;141,3932;0,2101308;20,45721;False
0;1,00096;87,5;40,03841;40,03841;0,5667914;0,807;32,07006;38,48408;0,667128;157,2141;1,284034;44,94282;False
0;1,501803;100;60,07211;60,07211;0,9938708;0,807;56,23497;67,48197;2,051269;170,2657;3,378154;108,7282;False
0;2,002913;100;80,11652;80,11652;1,429909;0,807;80,90679;97,08816;4,245995;183,3277;6,481971;168,3372;False
0;2,519539;100;100,7815;100,7815;1,881729;0,807;106,4715;127,7659;7,353205;186,825;10,73037;226,4329;False
0;3,019878;100;120,7951;120,7951;2,319853;0,807;131,2614;157,5137;11,17593;186,825;15,85574;247,5054;False
0;3,520447;100;140,8179;140,8179;2,758313;0,807;156,0703;187,2843;15,79973;186,825;21,97749;270,9679;False
0;4,021025;100;160,841;160,841;3,196813;0,807;180,8814;217,0577;21,22253;186,825;29,09314;298,096;False
0;4,521516;100;180,8607;180,8607;3,635247;0,807;205,6887;246,8265;27,44294;186,825;37,201;325,2196;False
0;5,022067;100;200,8827;200,8827;4,073734;0,807;230,4991;276,5989;34,4626;186,825;46,30327;348,6545;False
0;5,52261;100;220,9044;220,9044;4,512216;0,807;255,3092;306,3711;42,28074;186,825;56,39894;357,6057;False
0;6,02317;100;240,9268;240,9268;4,950712;0,807;280,1201;336,1441;50,89768;186,825;67,48843;364,5665;False
0;6,541165;100;261,6467;261,6467;5,404483;0,807;305,7953;366,9543;60,65562;186,825;80,01031;369,9338;False
0;7,057731;100;282,3094;282,3094;5,857001;0,807;331,3995;397,6795;71,23827;186,825;93,5572;370,68;False
0;7,558388;100;302,3357;302,3357;6,295583;0,807;356,2153;427,4584;82,3066;186,825;107,6966;370,68;False
0;8,058822;100;322,3531;322,3531;6,73397;0,807;381,02;457,224;94,16838;186,825;122,823;371,0779;False
0;8,559457;100;342,3785;342,3785;7,172534;0,807;405,8347;487,0017;106,8336;186,825;138,9491;371,7061;False
0;9,059828;100;362,3934;362,3934;7,610866;0,807;430,6363;516,7636;120,2904;186,825;156,0598;372,1976;False
0;9,560358;100;382,4146;382,4146;8,049335;0,807;455,4457;546,5349;134,5497;186,825;174,1691;372,5526;False
0;10,06107;100;402,4427;402,4427;8,487958;0,807;480,2638;576,3165;149,6129;186,825;193,2787;372,7706;False
0;10,56154;100;422,4616;422,4616;8,926377;0,807;505,0703;606,0844;165,4677;186,825;213,3728;372,8476;False
0;11,0622;100;442,4882;442,4882;9,364964;0,807;529,8863;635,8636;182,1272;186,825;234,4684;372,8476;False
0,2257941753;11,56283;100;462,513;438,8305;23,54796;0,807;538,9689;646,7628;186,8253;186,8247;249,2801;372,8476;False
0,8642236769;12,06381;100;482,5522;437,4459;45,18953;0,807;542,3083;650,77;186,8253;186,8237;261,6921;372,8476;False
1,5744019747;12,58039;100;503,2155;434,9108;68,23665;0,807;540,5492;648,6591;186,8253;186,8227;272,0127;372,8476;False
2,2730923176;13,08094;100;523,2372;432,9145;90,6262;0,807;538,8954;646,6746;186,8253;186,8216;281,9701;372,8476;False
2,979791522;13,58144;100;543,2576;431,0894;112,3457;0,807;536,1218;643,3462;186,4389;186,8206;291,2523;372,8476;False
3,6950656414;14,08213;100;563,2851;428,8535;134,5163;0,807;533,1843;639,8212;184,4014;186,8195;300,3348;372,8476;False
4,4193693638;14,58259;100;583,3032;426,3437;157,351;0,807;530,4468;636,5363;182,5128;186,8184;309,4113;372,8476;False
5,1532311916;15,08309;100;603,3233;424,1628;179,0022;0,807;527,6661;633,1993;180,6042;186,8173;318,3532;372,8476;False
5,8978579044;15,58377;100;623,3505;422,9042;200,2928;0,807;525,4987;630,5985;179,1236;186,8162;327,5699;372,8476;False
6,6491326332;16,08433;100;643,3727;418,8301;224,2663;0,807;522,448;626,9376;177,0499;186,8151;336,1288;372,8476;False
7,4120524406;16,59211;100;663,6842;417,5054;246,1906;0,807;519,4084;623,2901;174,9957;186,8139;344,7231;372,8476;False
8,2082865715;17,10198;100;684,0791;415,66;268,3169;0,807;516,4783;619,774;173,0269;185,866;353,312;372,8476;False
